Search Name,Clip Code,Title EN,SubGenre,Genres,Rating,Video Format,Year,Keyword,Start Time,End Time,Data ID,Stream URL,Play Result,Status
"Mum Kitchen S1",Not Found,"","","",,,,"",,,,,N/A,Not Found in DB
"Mum Kitchen S2",Not Found,"","","",,,,"",,,,,N/A,Not Found in DB
"Mum Kitchen S3",Not Found,"","","",,,,"",,,,,N/A,Not Found in DB
"Mum Kitchen S4",Not Found,"","","",,,,"",,,,,N/A,Not Found in DB
"Coming From Venus S1",ENT_VAS_VN_31174,"COMING FROM VENUS S1, EP25","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,606d1656-5489-47d0-80c4-abb3deb19f32,https://censorship.kplus.vn/MediaAssets/Asset/2d8063f1-99e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_30918,"COMING FROM VENUS S1, EP24","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,12ee87e1-9e8b-4b79-a743-859110fbd3fc,https://censorship.kplus.vn/MediaAssets/Asset/8f516719-9ae6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_30599,"COMING FROM VENUS S1, EP23","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,8e7e45b4-7b0f-4a1c-ad20-cd89c161e33e,https://censorship.kplus.vn/MediaAssets/Asset/6eaff20a-98e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_30390,"COMING FROM VENUS S1, EP22","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,c535482d-d2b1-4f3a-80d9-a5f360e80c62,https://censorship.kplus.vn/MediaAssets/Asset/b362df1a-98e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_30158,"COMING FROM VENUS S1, EP21","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,e9d4633b-83d6-4302-ba72-de401dd1dbf8,https://censorship.kplus.vn/MediaAssets/Asset/4e747e74-99e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_29856,"COMING FROM VENUS S1, EP20","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,65c14f8c-18c6-49d0-91f8-0dffe8d84751,https://censorship.kplus.vn/MediaAssets/Asset/124d8b57-9ae6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_29538,"COMING FROM VENUS S1, EP19","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,649a7de8-9977-4793-bdf9-ef3c5512f8a7,https://censorship.kplus.vn/MediaAssets/Asset/4b747e74-99e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_29279,"COMING FROM VENUS S1, EP18","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,845fa4ac-e7a9-4c12-b1c2-6f3a99e6d70b,https://censorship.kplus.vn/MediaAssets/Asset/68aff20a-98e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_29051,"COMING FROM VENUS S1, EP17","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,c72f2f88-f969-45f3-9ced-ad7cd113199d,https://censorship.kplus.vn/MediaAssets/Asset/984e0103-42f4-ef11-8593-0c42a12723cb/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_28107,"COMING FROM VENUS S1, EP16","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,0fc38f46-350a-488b-9505-3c4caf83f98f,https://censorship.kplus.vn/MediaAssets/Asset/605d9222-9ae6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_28106,"COMING FROM VENUS S1, EP15","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,913b5791-fb45-4b93-a89e-030a91c9e312,https://censorship.kplus.vn/MediaAssets/Asset/e72f52af-99e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_28105,"COMING FROM VENUS S1, EP14","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,50186357-d1a5-48e1-aedd-2fb32b0acc91,https://censorship.kplus.vn/MediaAssets/Asset/e7fdf0e2-98e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_28104,"COMING FROM VENUS S1, EP13","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,9be650f8-688a-447a-80bb-51d12b882ad0,https://censorship.kplus.vn/MediaAssets/Asset/3cbfbb4b-99e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_26953,"COMING FROM VENUS S1, EP12","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,ba88116e-76b6-4a87-9872-06f598566b54,https://censorship.kplus.vn/MediaAssets/Asset/5bb66ccb-99e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_26952,"COMING FROM VENUS S1, EP11","Variety show","Entertainment",1,HD,2018,"",2018-10-08T00:00:00+07:00,,1034eed2-a077-4a0d-a55f-2564742253fa,https://censorship.kplus.vn/MediaAssets/Asset/c162d643-98e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_26951_2411709,"COMING FROM VENUS S1, EP10","Variety show","Entertainment",1,HD,2018,"",2018-10-04T00:00:00+07:00,,bd389211-bd91-48ec-9d11-3d46713a5239,https://censorship.kplus.vn/MediaAssets/Asset/455282aa-09f0-ef11-8593-0c42a12723cb/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_26950,"COMING FROM VENUS S1, EP09","Variety show","Entertainment",1,HD1080i,2018,"",2018-10-04T00:00:00+07:00,,89f38481-4af0-446d-8cdc-efd00c19892e,https://censorship.kplus.vn/MediaAssets/Asset/e915821a-0df0-ef11-8593-0c42a12723cb/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_26949_2411707,"COMING FROM VENUS S1, EP08","Variety show","Entertainment",1,HD,2018,"",2018-10-04T00:00:00+07:00,,ed1cd3c2-4768-45ca-a7d0-80413ac046a1,https://censorship.kplus.vn/MediaAssets/Asset/d23cb638-99e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_26527,"COMING FROM VENUS S1, EP07","Variety show","Entertainment",1,HD,2018,"",2018-10-04T00:00:00+07:00,,d7485b19-dc37-4188-a0db-1b081758815d,https://censorship.kplus.vn/MediaAssets/Asset/c8b8d09b-09f0-ef11-8593-0c42a12723cb/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_26340_2411717,"COMING FROM VENUS S1, EP06","Variety show","Entertainment",1,HD,2018,"",2018-10-04T00:00:00+07:00,,858a2a6b-61cd-40b0-94f1-95bc4d60b158,https://censorship.kplus.vn/MediaAssets/Asset/3fb0f702-07f0-ef11-8593-0c42a12723cb/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_26276,"COMING FROM VENUS S1, EP05","Variety show","Entertainment",1,HD,2018,"",2018-10-04T00:00:00+07:00,,fc4381c1-83fe-4e1f-8436-9f0f5e92103a,https://censorship.kplus.vn/MediaAssets/Asset/f7f0188e-04f0-ef11-8593-0c42a12723cb/StreamPreview,YES,Success
"Coming From Venus S1",ENT_VAS_VN_26177_2411715,"COMING FROM VENUS S1, EP04","Variety show","Entertainment",1,HD,2018,"",2018-10-04T00:00:00+07:00,,2abe917c-3008-410e-aeaa-ed1e9d486f48,https://censorship.kplus.vn/MediaAssets/Asset/13efe6ee-97e6-ee11-9144-f40270bf9ea7/StreamPreview,YES,Success
